edge_id,from,to,flow
-98220083#1,354,317,0.0
-98220101#0,790,766,0.0
-98220101#1,791,790,0.0
-98220101#2,792,791,0.0
-98220101#4,777,792,0.0
-98220101#6,265,777,0.0
-98220110#0,793,353,0.0
-98220110#1,794,793,0.0
-98220110#2,780,794,0.0
-98220110#3,795,780,0.0
-98220127#1,788,791,0.0
-98220127#2,316,788,0.0
-98220127#3,399,316,0.0
-98220127#4,793,399,0.0
-98220127#5,796,793,0.0
-98220127#6,761,796,0.0
-98220127#7,786,761,0.0
-98220196,796,797,0.0
-98220203#0,779,798,0.0
-98220203#1,799,779,0.0
-98220310#0,398,356,0.0
-98220310#1,346,398,0.0
-98220335#0,795,776,0.0
-98220335#1,8,795,0.0
-98220400#0,770,265,0.0
-98220400#1,789,770,0.0
-98220400#2,799,789,0.0
-98220400#3,800,799,0.0
-98220434#1,761,355,0.0
-98220441#1,787,792,0.0
-98220441#2,798,787,0.0
-98220441#3,774,798,0.0
-98220441#4,794,774,0.0
-98220441#5,781,794,0.0
-98220441#6,760,781,0.0
-98220441#7,44,760,0.0
-98220463#1,801,23,0.0
-98220480,802,24,0.0
-98347793,666,803,0.0
-98468131,804,543,0.0
-98468227#1,769,805,0.0
-98471741,386,510,0.0
-98478501,806,807,0.0
-98478503#1,233,245,0.0
-98478504#1,806,808,0.0
-98478504#2,807,806,0.0
-98478504#3,662,807,0.0
-98478508#2,809,371,0.0
-98491558,742,233,0.0
-98646845#1,161,375,0.0
-98646868#1,687,379,0.0
-98646868#2,810,687,0.0
-98646868#3,495,810,0.0
-987918687,81,445,0.0
-98928472#0,488,480,0.0
-98928472#1,676,488,0.0
-98928472#2,447,676,0.0
-996773139,704,705,0.0
-997141699,696,238,0.0
-997141712#1,811,454,0.0
-997141719,89,88,0.0
-997141723#0,498,492,0.0
-997141723#1,242,498,0.0
-997141726#1,350,812,0.0
-997141727#1,391,350,0.0
-997152398,493,160,0.0
-997152401,813,460,0.0
-997152402,460,237,0.0
-997160554,385,814,0.0
-997160556,815,625,0.0
-997160557#1,101,429,0.0
-997160557#2,110,101,0.0
-997160558,430,642,0.0
1000639354,74,73,0.0
1000874728,19,464,0.0
