edge_id;from;to;flow
-376334598#0;717688277;717687909;0.0
-376336136#2;717703180;717703210;0.0
-38536191;1225881080;7498684946;0.0
-386165174#5;2600304134;cluster_3041172991_9557355004;0.0
-38882688#2;674095645;674032308;0.0
-38882688#3;cluster_2433850374_461889598;674095645;0.0
-38882690;461891443;461890814;0.0
-38883323;461904640;674059121;0.0
-38883328#1;461904826;461904819;0.0
-38883330#3;933830814;461904770;0.0
-38883334;6098448710;cluster_2433850374_461889598;0.0
-38883335#1;461904655;292205846;0.0
-38883341#0;461904819;1631051572;0.0
-38883341#2;461904770;461904819;0.0
-38883341#6;292203373;461904770;0.0
-397738613;cluster_292199335_935539995;461891443;0.0
-414350116;461890547;621447467;0.0
-41947140;878490183;34522821;0.0
-419681616#1;933773243;4991308032;0.0
-419681616#2;461904422;933773243;0.0
-42373365#1;528983519;1015081907;0.0
-42373365#2;772081391;528983519;0.0
-445315926#1;cluster_1287984161_935539939;873563421;0.0
-445315926#3;935540177;cluster_1287984161_935539939;0.0
-449550516#3;5853297107;cluster_3731440632_686792411;0.0
-469349220#1;2631675802;2631675833;0.0
-471683739;1015027003;2115771445;0.0
-475037415;873563448;461890549;0.0
-484799634#1;717687931;715598735;0.0
-48975951;461890814;cluster_461890965_461891404;0.0
-490905312;367090969;1137739286;0.0
-500090840#1;4912364265;717688277;0.0
-501131691#1;2631675883;cluster_2566083644_2631675868;0.0
-510022602#1;4991308034;4991308032;0.0
-510022602#2;4991308035;4991308034;0.0
-510022606#1;4991308041;4991308034;0.0
-510064052;4991619328;4991619327;0.0
-511312541#1;686822265;4990212701;0.0
-522386493#1;292205772;3265926548;0.0
-522386493#2;6757771316;292205772;0.0
-53275488#1;674095498;674095514;0.0
-53275488#2;674095746;674095498;0.0
-53275493#2;674095514;674095575;0.0
-53275493#3;674095470;674095514;0.0
-53275525;2434322537;674095498;0.0
-53275528#0;674095575;698427727;0.0
-53275528#1;674095589;674095575;0.0
-53275549#3;674095645;7310098900;0.0
-53275556#1;4991619327;2123717241;0.0
-53275556#2;674095835;4991619327;0.0
-53275606#1;461904422;674095865;0.0
-53292011;674249156;461904661;0.0
-53293145;674273772;674273788;0.0
-53293172#2;461904148;461904109;0.0
-53301484#5;674315601;674315410;0.0
-53350683#0;622788769;8531217376;0.0
-53350683#2;674095865;622788769;0.0
-53350684#0;674095835;674095865;0.0
-53350684#10;461889823;2123713363;0.0
-53350684#4;2123713363;674095835;0.0
-53350685;461904059;461904053;0.0
-53350687;935167343;461904663;0.0
-53731180;461904754;461904655;0.0
-54532839#8;686792765;686822341;0.0
-54532848;686822261;686822133;0.0
-54532861#0;686792755;1141237597;0.0
-54532861#1;686822264;686792755;0.0
-54532861#4;686822265;686822264;0.0
-54532887#1;686822356;7052637088;0.0
-54532888#2;1607930811;7052637085;0.0
-54532897#0;686822463;686822447;0.0
-54532897#1;686822470;686822463;0.0
-54532897#2;686822483;686822470;0.0
-54532899#1;1386606748;686822482;0.0
-54532899#2;686822458;1386606748;0.0
-546612506#1;cluster_1682185639_3045329072_3045329077_3045329080;6025151020;0.0
-548139424#0;1877558944;715759986;0.0
-548139424#1;719065167;1877558944;0.0
-550689003;966707522;773478949;0.0
-550689004#1;1015027003;966707522;0.0
-55360544;2192559745;695547387;0.0
-55361274#2;695556696;695556636;0.0
-55361275#1;695556636;695556663;0.0
-55361279#0;695556663;cluster_292199335_935539995;0.0
-55361279#1;695556675;695556663;0.0
-55361355;695559961;695546930;0.0
-55565348#2;674095528;698427727;0.0
-556437693;1139273351;461890609;0.0
-57718353#1;715598754;715066056;0.0
-57718353#2;715598943;715598754;0.0
-57718353#4;717687909;715598943;0.0
-57721138#6;715598988;715066056;0.0
-57721141#2;715643058;715642804;0.0
-57721141#3;715642974;715643058;0.0
-57721147#2;715643096;7117278395;0.0
-57721147#3;7245842595;715643096;0.0
-57721148#3;695547387;695546930;0.0
-57721150#1;2194490123;461890663;0.0
-57721154;715066056;715599085;0.0
-57721155#2;1136247156;715643096;0.0
-57721158#1;717702973;461890687;0.0
-57847528#0;717688242;717688229;0.0
-57847528#3;717688277;717688242;0.0
-57847530#1;cluster_717688002_717688319;717688148;0.0
-57847532;717688242;10746724296;0.0
-57847533;717688157;715598943;0.0
-57847535#0;717688148;715642959;0.0
-57847542#0;717688123;715598889;0.0
-57847543#0;6856734102;715599269;0.0
-57847543#1;717688245;6856734102;0.0
-57847544;cluster_717688002_717688319;717687926;0.0
-57847546#1;717688247;715599400;0.0
-57847549#2;717688307;717688123;0.0
-57847551;717688294;717687928;0.0
-57849895#4;717703136;717703036;0.0
-57849895#5;717703125;717703136;0.0
-57849896#5;717703081;715642781;0.0
-57849896#9;2194461252;717703081;0.0
-57851094;1139093474;717715391;0.0
-57851101#1;717715340;717715269;0.0
-57851107#3;717715343;cluster_715598886_715599315;0.0
-57851107#4;717715391;717715343;0.0
-57851107#9;461890657;717715391;0.0
-57851112#0;717715269;cluster_715598886_715599315;0.0
-57851112#1;2192774322;717715269;0.0
-57851113;717715522;715599341;0.0
-57853979#0;717797509;717797615;0.0
-57853979#1;717797555;717797509;0.0
-57853979#2;717797493;717797555;0.0
-57853979#3;717797647;717797493;0.0
-57853979#5;717797593;717797647;0.0
-57853979#6;717797544;717797593;0.0
-57853980;717797477;717797543;0.0
-57853981#1;717797593;717797671;0.0
-57853982;717797544;717797679;0.0
-57853985#0;2195004461;717797555;0.0
-57853985#1;717797504;2195004461;0.0
-57853986#0;717797543;717797490;0.0
-57853986#1;717797493;717797543;0.0
-57941238;719035844;cluster_719035896_719035941;0.0
-57941247#1;719035817;719035886;0.0
-57941248#1;719035817;1880422307;0.0
-57942571#0;719065547;719065596;0.0
-57942571#1;719065141;719065547;0.0
-57942572#3;719065639;719065216;0.0
-57942572#6;719065539;719065639;0.0
-57942572#7;719065386;719065539;0.0
-57942572#8;719073219;719065386;0.0
-57942572#9;719073292;719073219;0.0
-57942574#1;cluster_12065174404_719065610;719065601;0.0
-57942574#2;719065294;cluster_12065174404_719065610;0.0
-57942575;719065653;cluster_719065275_719065663;0.0
-57942576#0;719065190;719065182;0.0
-57942576#1;719090102;719065190;0.0
-57942577#0;cluster_719065391_719065476;719065550;0.0
-57942580#0;1444975371;719065674;0.0
-57942580#2;719065150;1444975371;0.0
-57942582#1;719065547;719065504;0.0
-57942583;719065134;cluster_719065307_719065650;0.0
-57942584#0;807103605;367090915;0.0
-57942584#1;719065254;807103605;0.0
-57942585#3;719065602;719065254;0.0
-57942585#4;2161043716;719065602;0.0
-57942589;719065507;719035974;0.0
-57942590#1;719065538;719065306;0.0
-57942590#2;719065182;719065538;0.0
-57942591#2;719065305;cluster_719065391_719065476;0.0
-57942593#0;719065141;719065639;0.0
-57942593#1;719065281;719065141;0.0
-57942594#1;719065617;11391796798;0.0
-57942594#10;719073378;725402764;0.0
-57942594#16;cluster_719073240_725402842;719073378;0.0
-57942594#17;719073378;cluster_719073240_725402842;0.0
-57942594#4;725402903;719065617;0.0
-57942594#9;725402764;725402903;0.0
-57942596;719065190;719065538;0.0
-57942597#0;cluster_719065130_719065551;715759986;0.0
-57942597#1;728269780;cluster_719065130_719065551;0.0
-57942605;719065653;728245360;0.0
-57942607#0;719065539;719065191;0.0
-57942607#2;719065582;719065539;0.0
-57942608#0;6842513226;719065615;0.0
-57942608#1;cluster_719065307_719065650;6842513226;0.0
-57942609;cluster_719065275_719065663;719065281;0.0
-57942610#0;719065463;719065657;0.0
-57942610#7;719065295;719065463;0.0
-57942611;719065504;719065678;0.0
-57942612;719065515;cluster_719065130_719065551;0.0
-57942613#0;10175990392;719065386;0.0
-57942613#1;719065207;10175990392;0.0
-57942614#0;728269795;719065167;0.0
-57942616;719065596;719065619;0.0
-57942617#2;719089924;715759640;0.0
-57944217;719065179;719068663;0.0
-57945270;7926290231;719070631;0.0
-57945271#5;719065602;34522821;0.0
-57945273#2;719070625;719070588;0.0
-57946631;719073219;719073337;0.0
-57946632#1;1878842818;719073388;0.0
-57946632#2;719065144;1878842818;0.0
-57946633#0;9236463293;7463104426;0.0
-57946633#1;719073294;9236463293;0.0
-57946635#3;719073238;719073341;0.0
-57947755#1;719078912;719078917;0.0
-57949095;719089955;719065211;0.0
-57949099;719090096;719089921;0.0
-57949103;9797916461;719065375;0.0
-57949108;719090113;1878842479;0.0
-58530583#0;cluster_719073240_725402842;725402764;0.0
-58530583#1;725402881;cluster_719073240_725402842;0.0
-58530584#2;725402898;725402903;0.0
-58610501;1166259091;461890677;0.0
-58610671;717703136;717702981;0.0
-58611080#0;715599269;715599400;0.0
-58611080#10;715598735;715598889;0.0
-58611080#2;cluster_717688002_717688319;715599269;0.0
-58611080#7;715598580;cluster_717688002_717688319;0.0
-58611080#8;715598889;715598580;0.0
-58611081#6;715598666;717687931;0.0
-58613566;715599400;715598988;0.0
-58640494#4;728245332;726579243;0.0
-58640494#7;1225652322;728245332;0.0
-58759625#2;717797490;717797646;0.0
-58759625#3;717797647;717797490;0.0
-58759626;728245333;728245332;0.0
-58760424#4;719065187;719065600;0.0
-58760425#1;719065299;719065504;0.0
-58760426#0;719065179;cluster_719065391_719065476;0.0
-58760426#2;719065600;719065179;0.0
-58760427#2;719065375;719065306;0.0
-58760427#4;719065398;719065375;0.0
-58760428;719065125;719065600;0.0
-58760435#1;719065150;719065622;0.0
-58760435#2;719065187;719065150;0.0
-58760435#3;719065463;719065187;0.0
-58760437#0;7463104426;719070610;0.0
-58760437#1;719070588;7463104426;0.0
-58760437#4;2161043716;719070588;0.0
-58760438;719065504;719065281;0.0
-58760439#3;719035974;719035886;0.0
-58760439#6;cluster_719035896_719035941;719035974;0.0
-58760439#7;1893385820;cluster_719035896_719035941;0.0
-58761210;728269790;728273115;0.0
-58761606;728272962;728273068;0.0
-58761607;728269795;cluster_719065130_719065551;0.0
